Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Salesperson,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Year,Profit Margin %,Order Year,Order Month,Order Month Number,Order Year-Month,Shipping Days
1,US-2014-100000,2016-01-31 22:01:28,2016-02-02 22:01:28,Second Class,CUST-00594,Ananya Verma,Consumer,United States,Philadelphia,Maryland,72858,East,OFF-FAS-004,Office Supplies,Fasteners,Fasteners Product 4,140.2440601526053,3,0.0,19.836281570761365,2016,14.1441153009808,2016,Jan,1,2016-01,2
2,US-2015-100001,2014-12-19 01:39:32,2014-12-23 01:39:32,Second Class,CUST-00350,Ananya Verma,Corporate,United States,New York City,Maryland,93730,East,FUR-FUR-008,Furniture,Furnishings,Furnishings Product 8,1594.9120225781064,3,0.2,-89.93608188248899,2014,-5.638936857288918,2014,Dec,12,2014-12,4
3,US-2015-100001,2014-12-19 01:39:32,2014-12-23 01:39:32,Second Class,CUST-00350,Ananya Verma,Corporate,United States,New York City,Maryland,61250,East,OFF-BIN-004,Office Supplies,Binders,Binders Product 4,119.78140062681378,4,0.4,-9.593796239381344,2014,-8.00942065226921,2014,Dec,12,2014-12,4
4,US-2015-100001,2014-12-19 01:39:32,2014-12-23 01:39:32,Second Class,CUST-00350,Ananya Verma,Corporate,United States,New York City,Maryland,10085,East,OFF-PAP-003,Office Supplies,Paper,Paper Product 3,15.149566309550837,2,0.0,2.4350954363586315,2014,16.07369733629575,2014,Dec,12,2014-12,4
5,US-2016-100002,2017-01-16 02:26:04,2017-01-19 02:26:04,Standard Class,CUST-00282,Diya Sharma,Corporate,United States,Fresno,Washington,73927,West,OFF-ENV-004,Office Supplies,Envelopes,Envelopes Product 4,357.1097614519888,3,0.3,-33.18890948948877,2017,-9.293755890218312,2017,Jan,1,2017-01,3
6,US-2016-100002,2017-01-16 02:26:04,2017-01-19 02:26:04,Standard Class,CUST-00282,Diya Sharma,Corporate,United States,Fresno,Washington,63282,West,OFF-APP-001,Office Supplies,Appliances,Appliances Product 1,206.17110045882723,2,0.0,35.77740007414028,2017,17.353256588590163,2017,Jan,1,2017-01,3
7,US-2016-100002,2017-01-16 02:26:04,2017-01-19 02:26:04,Standard Class,CUST-00282,Diya Sharma,Corporate,United States,Fresno,Washington,42356,West,TEC-MAC-005,Technology,Machines,Machines Product 5,267.9583752423231,2,0.15,14.432436410750254,2017,5.386074011569354,2017,Jan,1,2017-01,3
8,US-2017-100003,2015-10-04 08:32:30,2015-10-05 08:32:30,Second Class,CUST-00635,Arjun Patel,Consumer,United States,Minneapolis,Wisconsin,49284,Central,TEC-MAC-007,Technology,Machines,Machines Product 7,964.9894541005574,3,0.05,181.8174701763046,2015,18.841394525474076,2015,Oct,10,2015-10,1
9,US-2017-100003,2015-10-04 08:32:30,2015-10-05 08:32:30,Second Class,CUST-00635,Arjun Patel,Consumer,United States,Minneapolis,Wisconsin,82036,Central,OFF-PAP-006,Office Supplies,Paper,Paper Product 6,53.97466930724262,2,0.6,-9.89529352014836,2015,-18.3332175021229,2015,Oct,10,2015-10,1
10,US-2014-100004,2015-02-12 02:28:34,2015-02-13 02:28:34,Standard Class,CUST-00156,Kabir Singh,Consumer,United States,San Francisco,Arizona,23077,West,FUR-TAB-008,Furniture,Tables,Tables Product 8,247.21189041864,4,0.0,-3.370156622673365,2015,-1.3632663934433682,2015,Feb,2,2015-02,1
11,US-2014-100004,2015-02-12 02:28:34,2015-02-13 02:28:34,Standard Class,CUST-00156,Kabir Singh,Consumer,United States,San Francisco,Arizona,38253,West,OFF-APP-007,Office Supplies,Appliances,Appliances Product 7,38.06746965525984,1,0.0,7.460133655882058,2015,19.597135621151747,2015,Feb,2,2015-02,1
12,US-2015-100005,2016-03-27 11:15:42,2016-03-28 11:15:42,Standard Class,CUST-00598,Ishita Kapoor,Consumer,United States,Wilmington,Maryland,18957,East,TEC-COP-004,Technology,Copiers,Copiers Product 4,208.1589933322649,2,0.05,29.44212521916469,2016,14.144056304196742,2016,Mar,3,2016-03,1
13,US-2015-100005,2016-03-27 11:15:42,2016-03-28 11:15:42,Standard Class,CUST-00598,Ishita Kapoor,Consumer,United States,Wilmington,Maryland,40434,East,FUR-BOO-001,Furniture,Bookcases,Bookcases Product 1,721.7582483566504,9,0.0,40.20272201215363,2016,5.570109119457935,2016,Mar,3,2016-03,1
14,US-2016-100006,2016-06-14 01:19:27,2016-06-16 01:19:27,Standard Class,CUST-00147,Neha Joshi,Corporate,United States,Dallas,Wisconsin,50039,Central,FUR-CHA-003,Furniture,Chairs,Chairs Product 3,906.0962664403193,4,0.1,-7.2031211002961015,2016,-0.7949620108903231,2016,Jun,6,2016-06,2
15,US-2016-100006,2016-06-14 01:19:27,2016-06-16 01:19:27,Standard Class,CUST-00147,Neha Joshi,Corporate,United States,Dallas,Wisconsin,14484,Central,TEC-ACC-002,Technology,Accessories,Accessories Product 2,493.7095319354674,2,0.3,16.744156270443806,2016,3.3914994925867523,2016,Jun,6,2016-06,2
16,US-2017-100007,2017-06-28 13:40:17,2017-06-30 13:40:17,Second Class,CUST-00069,Kabir Singh,Consumer,United States,Los Angeles,Colorado,50544,West,FUR-BOO-007,Furniture,Bookcases,Bookcases Product 7,167.6650315189955,3,0.3,-8.354447342429546,2017,-4.982820369125708,2017,Jun,6,2017-06,2
17,US-2017-100007,2017-06-28 13:40:17,2017-06-30 13:40:17,Second Class,CUST-00069,Kabir Singh,Consumer,United States,Los Angeles,Colorado,53404,West,FUR-TAB-002,Furniture,Tables,Tables Product 2,429.0083181813265,3,0.0,11.187531781723608,2017,2.6077657023412395,2017,Jun,6,2017-06,2
18,US-2017-100007,2017-06-28 13:40:17,2017-06-30 13:40:17,Second Class,CUST-00069,Kabir Singh,Consumer,United States,Los Angeles,Colorado,78388,West,TEC-COP-005,Technology,Copiers,Copiers Product 5,882.5272146119466,3,0.5,-116.34868699788706,2017,-13.183580638818757,2017,Jun,6,2017-06,2
