Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Salesperson,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,US-2014-100000,2016-01-31 22:01:28,2016-02-02 22:01:28,Second Class,CUST-00594,Ananya Verma,Consumer,United States,Philadelphia,Maryland,72858,East,OFF-FAS-004,Office Supplies,Fasteners,Fasteners Product 4,140.2440601526053,3,0.0,19.836281570761365
2,US-2015-100001,2014-12-19 01:39:32,2014-12-23 01:39:32,Second Class,CUST-00350,Ananya Verma,Corporate,United States,New York City,Maryland,93730,East,FUR-FUR-008,Furniture,Furnishings,Furnishings Product 8,1594.9120225781064,3,0.2,-89.93608188248899
3,US-2015-100001,2014-12-19 01:39:32,2014-12-23 01:39:32,Second Class,CUST-00350,Ananya Verma,Corporate,United States,New York City,Maryland,61250,East,OFF-BIN-004,Office Supplies,Binders,Binders Product 4,119.78140062681378,4,0.4,-9.593796239381344
4,US-2015-100001,2014-12-19 01:39:32,2014-12-23 01:39:32,Second Class,CUST-00350,Ananya Verma,Corporate,United States,New York City,Maryland,10085,East,OFF-PAP-003,Office Supplies,Paper,Paper Product 3,15.149566309550837,2,0.0,2.4350954363586315
5,US-2016-100002,2017-01-16 02:26:04,2017-01-19 02:26:04,Standard Class,CUST-00282,Diya Sharma,Corporate,United States,Fresno,Washington,73927,West,OFF-ENV-004,Office Supplies,Envelopes,Envelopes Product 4,357.1097614519888,3,0.3,-33.18890948948877
6,US-2016-100002,2017-01-16 02:26:04,2017-01-19 02:26:04,Standard Class,CUST-00282,Diya Sharma,Corporate,United States,Fresno,Washington,63282,West,OFF-APP-001,Office Supplies,Appliances,Appliances Product 1,206.17110045882723,2,0.0,35.77740007414028
7,US-2016-100002,2017-01-16 02:26:04,2017-01-19 02:26:04,Standard Class,CUST-00282,Diya Sharma,Corporate,United States,Fresno,Washington,42356,West,TEC-MAC-005,Technology,Machines,Machines Product 5,267.9583752423231,2,0.15,14.432436410750254
8,US-2017-100003,2015-10-04 08:32:30,2015-10-05 08:32:30,Second Class,CUST-00635,Arjun Patel,Consumer,United States,Minneapolis,Wisconsin,49284,Central,TEC-MAC-007,Technology,Machines,Machines Product 7,964.9894541005574,3,0.05,181.8174701763046
9,US-2017-100003,2015-10-04 08:32:30,2015-10-05 08:32:30,Second Class,CUST-00635,Arjun Patel,Consumer,United States,Minneapolis,Wisconsin,82036,Central,OFF-PAP-006,Office Supplies,Paper,Paper Product 6,53.97466930724262,2,0.6,-9.89529352014836
10,US-2014-100004,2015-02-12 02:28:34,2015-02-13 02:28:34,Standard Class,CUST-00156,Kabir Singh,Consumer,United States,San Francisco,Arizona,23077,West,FUR-TAB-008,Furniture,Tables,Tables Product 8,247.21189041864,4,0.0,-3.370156622673365
11,US-2014-100004,2015-02-12 02:28:34,2015-02-13 02:28:34,Standard Class,CUST-00156,Kabir Singh,Consumer,United States,San Francisco,Arizona,38253,West,OFF-APP-007,Office Supplies,Appliances,Appliances Product 7,38.06746965525984,1,0.0,7.460133655882058
12,US-2015-100005,2016-03-27 11:15:42,2016-03-28 11:15:42,Standard Class,CUST-00598,Ishita Kapoor,Consumer,United States,Wilmington,Maryland,18957,East,TEC-COP-004,Technology,Copiers,Copiers Product 4,208.1589933322649,2,0.05,29.44212521916469
13,US-2015-100005,2016-03-27 11:15:42,2016-03-28 11:15:42,Standard Class,CUST-00598,Ishita Kapoor,Consumer,United States,Wilmington,Maryland,40434,East,FUR-BOO-001,Furniture,Bookcases,Bookcases Product 1,721.7582483566504,9,0.0,40.20272201215363
